SYR;Сирия;Syria
ALA;Аландские острова;Aland Islands
COD;Демократическая Республика Конго;Congo - Kinshasa
GGY;Гернси;Guernsey
IMN;Остров Мэн;Isle of Man
JEY;Джерси;Jersey
MNE;Черногория;Montenegro
MAF;Остров Святого Мартина;Saint Martin
USR;СССР;USSR
BES;Британская антарктическая территория;British Antarctic Territory
FXX;Метрополия Франции;Metropolitan France
ABW;Аруба;Aruba
AGO;Ангола;Angola
AIA;Ангуилла;Anguilla
ALB;Албания;Albania
AND;Андорра;Andorra
ANT;Нидерландские Антильские острова;Netherlands Antilles
ARE;ОАЭ;United Arab Emirates
ARG;Аргентина;Argentina
ARM;Армения;Armenia
ASM;Американское Самоа;American Samoa
ATA;Антарктика;Antarctica
ATF;Французские Южные Территории;French Southern Territories
ATG;Антигуа и Барбуда;Antigua and Barbuda
AUS;Австралия;Australia
AUT;Австрия;Austria
AZE;Азербайджан;Azerbaijan
BDI;Бурунди;Burundi
BEL;Бельгия;Belgium
BEN;Бенин;Benin
BFA;Буркина Фасо;Burkina Faso
BGD;Бангладеш;Bangladesh
BGR;Болгария;Bulgaria
BHR;Бахрейн;Bahrain
BHS;Багамские острова;Bahamas
BIH;Босния и Герцеговина;Bosnia and Herzegovina
BLR;Белоруссия;Belarus
BLZ;Белиз;Belize
BMU;Бермудские Острова;Bermuda
BOL;Боливия;Bolivia
BRA;Бразилия;Brazil
BRB;Барбадос;Barbados
BRN;Бруней Даруссалам;Brunei
BTN;Бутан;Bhutan
BVT;Остров Буве;Bouvet Island
BWA;Ботсвана;Botswana
CAF;Центрально-Африканская Республика;Central African Republic
CAN;Канада;Canada
CCK;Кокосовые острова;Cocos [Keeling] Islands
CHE;Швейцария;Switzerland
CHL;Чили;Chile
CHN;Китай;China
CIV;Кот д’Ивуар;C?te d’Ivoire
CMR;Камерун;Cameroon
COG;Конго;Congo - Brazzaville
COK;Острова Кука;Cook Islands
COL;Колумбия;Colombia
COM;Коморские Острова;Comoros
CPV;Острова Зеленого Мыса;Cape Verde
CRI;Коста-Рика;Costa Rica
CUB;Куба;Cuba
CXR;Остров Рождества;Christmas Island
CYM;Каймановы острова;Cayman Islands
CYP;Кипр;Cyprus
CZE;Чехия;Czech Republic
DEU;Германия;Germany
DJI;Джибути;Djibouti
DMA;Остров Доминика;Dominica
DNK;Дания;Denmark
DZA;Алжир;Algeria
ECU;Эквадор;Ecuador
EGY;Египет;Egypt
ERI;Эритрея;Eritrea
ESH;Западная Сахара;Western Sahara
ESP;Испания;Spain
EST;Эстония;Estonia
ETH;Эфиопия;Ethiopia
FIN;Финляндия;Finland
FJI;Фиджи;Fiji
FLK;Фолклендские острова;Falkland Islands
FRA;Франция;France
FRO;Фарерские острова;Faroe Islands
FSM;Федеративные Штаты Микронезии;Micronesia
GAB;Габон;Gabon
GBR;Великобритания;United Kingdom
GEO;Грузия;Georgia
GHA;Гана;Ghana
GIB;Гибралтар;Gibraltar
GIN;Гвинея;Guinea
GLP;Гваделупа;Guadeloupe
GMB;Гамбия;Gambia
GNQ;Экваториальная Гвинея;Equatorial Guinea
GRC;Греция;Greece
GRD;Гренада;Grenada
GRL;Гренландия;Greenland
GTM;Гватемала;Guatemala
GUF;Французская Гвиана;French Guiana
GUM;Гуам;Guam
GUY;Гайана;Guyana
HKG;Гонконг;Hong Kong SAR China
HMD;Острова Херд и Макдональд;Heard Island and McDonald Islands
HND;Гондурас;Honduras
HRV;Хорватия;Croatia
HTI;Гаити;Haiti
HUN;Венгрия;Hungary
IDN;Индонезия;Indonesia
IND;Индия;India
IOT;Британская территория в Индийском океане;British Indian Ocean Territory
IRL;Ирландия;Ireland
IRN;Иран;Iran
IRQ;Ирак;Iraq
ISL;Исландия;Iceland
ISR;Израиль;Israel
ITA;Италия;Italy
JAM;Ямайка;Jamaica
JOR;Иордания;Jordan
JPN;Япония;Japan
KAZ;Казахстан;Kazakhstan
KEN;Кения;Kenya
KGZ;Киргизия;Kyrgyzstan
KHM;Камбоджа;Cambodia
KIR;Кирибати;Kiribati
KNA;Сент-Киттс и Невис;Saint Kitts and Nevis
KWT;Кувейт;Kuwait
LBN;Ливан;Lebanon
LBR;Либерия;Liberia
LCA;Сент-Люсия;Saint Lucia
LIE;Лихтенштейн;Liechtenstein
LKA;Шри Ланка;Sri Lanka
LSO;Лесото;Lesotho
LTU;Литва;Lithuania
LUX;Люксембург;Luxembourg
LVA;Латвия;Latvia
MAC;Макао;Macau SAR China
MAR;Марокко;Morocco
MCO;Монако;Monaco
MDA;Молдавия;Moldova
MDG;Мадагаскар;Madagascar
MDV;Мальдивы;Maldives
MEX;Мексика;Mexico
MHL;Маршалловы Острова;Marshall Islands
MKD;Македония;Macedonia
MLI;Мали;Mali
MLT;Мальта;Malta
MNG;Монголия;Mongolia
MNP;Северные Марианские Острова;Northern Mariana Islands
MOZ;Мозамбик;Mozambique
MRT;Мавритания;Mauritania
MSR;Монсеррат;Montserrat
MTQ;Мартиник;Martinique
MUS;Маврикий;Mauritius
MWI;Малави;Malawi
